Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.0,35350306,1,35350306.0,35350306.0,35350306,35350306,0.0,PushPop,":batch=4ed4fa79aa484fb8b39820de8da68971 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35343103,1,35343103.0,35343103.0,35343103,35343103,0.0,PushPop,":batch=a48c86c193f14128877a0bc8c987d03f phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35319357,1,35319357.0,35319357.0,35319357,35319357,0.0,PushPop,":batch=85865e72b60b4929a597ffd4679f5b06 phase=decode requests=02c18ca4fa9a4e78976ace85a268a23c,f0ba9eeb02cc4e319c31826e4b9e36c7,3fecad5f11024da9a9f4bfe463bd1304,f2963a755062429492336a27fdc3ceba"
0.0,35296153,1,35296153.0,35296153.0,35296153,35296153,0.0,PushPop,:batch=9c818765cd2842e1afdddcf8f886fbea phase=decode requests=13cb0b4b6523472b9c7dbfb336306fcb
0.0,35264707,1,35264707.0,35264707.0,35264707,35264707,0.0,PushPop,:batch=ca2b5ea6338e4626a092629d7f1da5b2 phase=decode requests=b4e0239eac314a4889c1d16d6bae5c25
0.0,35260038,1,35260038.0,35260038.0,35260038,35260038,0.0,PushPop,":batch=fc689f2c75024ee691e65d001ebdeac5 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35230074,1,35230074.0,35230074.0,35230074,35230074,0.0,PushPop,:batch=88ae04b3c39d4e9fb412d9e079cfb136 phase=decode requests=b4e0239eac314a4889c1d16d6bae5c25
0.0,35227186,1,35227186.0,35227186.0,35227186,35227186,0.0,PushPop,:batch=9fd06e6360c6491cb949786f3d461b2c phase=decode requests=b4e0239eac314a4889c1d16d6bae5c25
0.0,35208651,1,35208651.0,35208651.0,35208651,35208651,0.0,PushPop,":batch=02945e3763ca4cd88605dbbbacdf10eb phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35195714,1,35195714.0,35195714.0,35195714,35195714,0.0,PushPop,":batch=0490088ba393420f86a4689d425c7279 phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35173445,1,35173445.0,35173445.0,35173445,35173445,0.0,PushPop,":batch=870039447a4943969d27968375b8f034 phase=decode requests=50145c19059c448b9be20d4006a3b83e,1e364acea4d9441cbb3b7b5a16e18cfc,dda7bf958f80408c9c3d9a541b39209a,d78b5171e5344afb85dc62d2fb96a949"
0.0,35172958,1,35172958.0,35172958.0,35172958,35172958,0.0,PushPop,":batch=aa5ec705b850474eb31ad251ad2c8798 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
0.0,35172594,1,35172594.0,35172594.0,35172594,35172594,0.0,PushPop,":batch=63d140c9ddfb4462b29dad92b62a2f70 phase=decode requests=170917df0fbc4e4882d20cba4027852d,a0c18c3cbc30454e9dc8e0fc5a70b6ce,f57feb390ff741e487db3ca8e2290b12,b1b40efdf42a49e9a024a5a0f1bf45e1"
0.0,35166158,1,35166158.0,35166158.0,35166158,35166158,0.0,PushPop,":batch=229d8f1706b24f3bafe803d15daadb94 phase=decode requests=d015be2caa5144828875e4f0cf9a2fef,1cd19dc5bb0d40cba96f02e591bbb719,6e9e8aff32b843f3a8875c637cdebe8a,39f9fcc80d6b458095acad54a85000e0"
